TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;18,32;8,43;5,35;0,78;0,08;31,62;25,25;19,35;4,10;4,25;;;1,04;3,40;-0,08;1,50;14,50;1,45;;0,10;0,90;0,07;18,70;12,95;16.513.188,52;23,98;3,48;0,37;4.203.015.293,62
ABEV3;13,71;5,46;15,39;2,58;1,65;49,95;21,50;17,26;12,36;12,12;-0,47;-0,10;2,66;1.086,15;-2,22;1,01;16,78;10,71;18,20;0,64;0,35;0,62;10,72;14,46;375.854.836,07;5,40;0,91;2,83;219.765.974.311,80
AFLT3;8,70;2,95;14,33;2,07;1,82;59,73;49,97;48,96;14,04;14,50;-0,47;-0,07;7,02;9,66;-2,42;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;10.706,05;4,30;0,62;-0,23;562.084.677,00
AGRO3;26,38;12,49;9,88;1,21;0,76;30,76;21,55;20,98;9,62;11,44;1,67;0,21;2,07;3,70;-1,23;2,14;12,22;7,65;8,56;0,63;0,37;0,36;27,22;16,28;12.863.057,85;21,46;2,62;-0,20;2.653.612.047,36
ALLD3;6,37;5,49;9,58;0,39;0,17;13,77;3,60;1,16;3,10;4,49;1,20;0,15;0,11;0,62;-0,54;1,65;4,10;1,75;7,52;0,43;0,57;1,51;14,71;27,14;233.524,15;16,44;0,67;-0,18;601.272.753,90
ALSO3;22,54;2,31;4,02;0,88;0,46;101,46;315,02;172,55;2,20;2,04;-0,29;-0,12;6,94;9,73;-0,51;1,87;21,84;11,36;26,95;0,52;0,44;0,07;25,65;87,46;100.972.926,56;25,57;5,58;0,00;12.879.144.237,96
ALUP11;28,56;5,85;11,52;1,17;0,31;76,94;72,93;23,99;3,79;7,76;3,93;1,22;2,76;2,84;-0,38;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;20.485.489,19;24,49;2,50;-0,40;8.758.761.244,32
ALUP3;9,55;5,83;11,54;1,18;0,31;76,94;72,93;23,99;3,80;7,76;3,93;1,22;2,77;2,84;-0,38;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;125.856,96;8,16;0,83;-0,40;8.758.761.244,32
ALUP4;9,54;5,86;11,48;1,17;0,31;76,94;72,93;23,99;3,78;7,76;3,93;1,22;2,76;2,83;-0,38;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;253.797,67;8,16;0,83;-0,40;8.758.761.244,32
APER3;29,90;1,06;13,25;0,74;0,48;100,00;9,07;9,31;13,60;10,45;-3,11;-0,17;1,23;19,11;-0,62;1,12;5,57;3,60;3,59;0,65;0,35;0,39;22,90;;753.652,63;41,37;2,31;0,04;350.718.093,70
ARML3;12,68;1,94;28,21;3,83;1,20;48,40;34,24;14,07;11,60;15,98;3,54;1,17;3,97;5,87;-1,74;2,90;13,57;4,24;11,42;0,31;0,69;0,30;;;8.938.168,67;3,40;0,46;0,45;4.498.208.533,00
ARZZ3;67,45;2,32;20,61;2,74;1,40;53,36;10,78;8,03;15,36;17,17;0,70;0,12;1,66;7,14;-2,86;1,63;13,29;6,81;12,78;0,51;0,48;0,85;25,49;19,09;121.840.081,26;25,08;3,33;-1,45;7.626.068.344,26
ATOM3;2,25;14,24;24,25;2,76;1,88;94,22;5,18;8,23;38,53;26,87;-13,21;-0,94;2,00;1,98;-84,35;34,11;11,36;7,75;4,23;0,68;0,32;0,94;;-11,48;18.605,67;0,82;0,09;-0,32;53.561.020,50
AURA33;31,61;4,45;10,34;1,41;0,60;36,27;23,68;11,46;5,00;6,37;1,39;0,39;1,18;9,58;-0,90;1,24;13,62;5,84;12,85;0,43;0,57;0,51;32,13;63,49;3.070.963,89;22,68;3,09;-0,24;2.259.514.172,40
AURE3;13,73;10,90;4,44;0,93;0,42;21,03;27,60;52,70;8,49;8,88;0,27;0,03;2,34;2,83;-0,58;2,12;20,94;9,38;5,22;0,45;0,55;0,18;;;35.236.015,48;14,79;3,10;0,00;13.760.000.000,00
B3SA3;12,55;3,05;17,49;3,56;1,55;85,58;52,07;39,68;13,33;13,94;-0,52;-0,14;6,94;11,79;-2,35;1,62;20,33;8,85;12,30;0,44;0,56;0,22;22,44;26,36;394.406.438,26;3,53;0,72;-2,73;73.028.450.000,00
BALM3;10,00;2,16;122,50;0,69;0,40;58,39;9,82;0,44;5,47;3,77;-1,50;-0,19;0,54;0,86;-1,31;2,92;0,56;0,32;6,55;0,57;0,42;0,74;8,44;3,46;3.762,13;14,53;0,08;-1,27;99.421.000,00
BALM4;10,50;2,10;126,05;0,71;0,41;58,39;9,82;0,44;5,62;3,77;-1,50;-0,19;0,55;0,88;-1,35;2,92;0,56;0,32;6,55;0,57;0,42;0,74;8,44;3,46;19.705,00;14,53;0,08;-1,30;99.421.000,00
BAUH4;71,88;1,68;-98,21;3,91;2,32;21,55;3,82;-1,82;46,81;44,59;-2,23;-0,19;1,79;30,71;-4,23;1,20;-3,98;-2,36;-3,45;0,59;0,41;1,30;3,33;;28.172,22;18,39;-0,73;0,68;375.373.317,36
