,DY,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
AALR3,,,,"0,79","0,47",,,,,,,,
ABCB4,"8,43","9,48","7,90","1,01","5,20","6,39","6,32","7,80","13,72","4,88","4,78","2,34","4,81"
ABEV3,"5,46","5,25","4,41","2,64","2,63","3,58","2,54","3,90","4,01","4,67",,,
ADHM3,,,,,,,,,,,,,
AERI3,,"1,83",,,,,,,,,,,
AESB3,,"1,11","2,09",,,,,,,,,,
AFLT3,"2,95","2,55","7,10","7,33","0,95","3,25","13,97","14,17",,"7,77","4,08",,
AGRO3,"12,49","17,54","9,10","2,84","4,89","4,88","1,93","5,29","12,67",,"1,07",,
AGXY3,"0,82","1,70",,,,,,,,,,,
AHEB3,,,,,,,,,,,,,
AHEB5,,,,,,,,,,,,,
AHEB6,,,,,,,,,,,,,
ALLD3,"5,49","15,49","4,48",,,,,,,,,,
ALPA3,,,"1,28","0,13",,"2,62","1,82","3,08","9,24","3,77","2,01","1,48","2,30"
ALPA4,,,"1,18","0,13",,"2,77","1,95","3,00","22,34","3,83","1,94","1,58","2,50"
ALPK3,,,,,,,,,,,,,
ALSC3,,,,,"0,96","0,61",,"0,76","12,34","1,94","1,89","0,74","0,63"
ALSO3,"2,31","2,26","1,05",,"0,91",,,,,,,,
ALUP11,"5,85","4,36","3,49","2,55","1,63","3,93","2,78","4,91","9,13","12,24",,,
ALUP3,"5,83","4,48","3,46","2,57","1,32","3,20","2,14","3,45",,,,,
ALUP4,"5,86","4,29","3,48","2,58","1,78","4,40","3,19","6,36",,,,,
AMAR3,,,,,,,,,"1,35","0,75","0,62","1,17","3,97"
AMBP3,"0,62","1,45","0,22",,,,,,,,,,
AMER3,,"6,43",,,,,,,,,,,"0,62"
ANDG3B,,,,,,,,,,,,,
ANDG4B,,,,,,,,,,,,,
ANIM3,,,,,"0,02","1,49","0,22","1,38","3,43","0,31",,,
APER3,"1,06","0,26",,"0,16",,,,,,,,,
APTI3,,,,,,,,,,,,,
APTI4,,,,,,,,,,,,,
ARML3,"1,94","3,46","0,26",,,,,,,,,,
ARZZ3,"2,32","2,35","1,21","0,78","2,51","2,33","3,76","3,33","4,21","2,26","1,41","0,47","0,48"
ASAI3,"0,70","0,83","2,81",,,,,,,,,,
ATMP3,,,,,,,,,,,,,
ATOM3,"14,24","2,78","10,00",,,,,,,,,,
AURA33,"4,45","4,87","14,57",,,,,,,,,,
AURE3,"10,90","0,68",,,,,,,,,,,
AVLL3,,,,,,,,,,,,,
AZEV3,,,,,,,,,"8,04",,,,
AZEV4,,,,,,,,,"8,94","2,82",,,
AZUL4,,,,,,,,,,,,,
B3SA3,"3,05","3,66","15,28","3,47","2,70","2,62","1,99","3,05",,,,,
BAHI3,,,,,,,,,,,,,
BALM3,"2,16","23,50","2,18","5,70",,"0,27",,,,,,,
BALM4,"2,10","27,26","3,16","7,52",,"0,21","0,43","5,63","6,14","39,42","1,29","0,29","0,77"
BAUH4,"1,68",,,"0,89","0,62","2,38","3,34","2,95","6,08","1,74",,,
BAZA3,"7,09","13,75","6,29","8,49","4,27","2,68","2,53","0,11","15,19","8,10","6,78","8,40","5,00"
BBAS3,"9,66","12,01","7,86","3,81","4,84","3,26","2,96","2,65","11,42","6,97","9,68","6,33","7,93"
BBDC3,"7,13","2,86","5,76","2,66","5,48","3,08","3,05","1,12","6,29","3,44","2,45","2,72","3,85"
BBDC4,"7,00","2,80","5,34","2,61","5,68","2,97","3,18","1,24","7,36","3,70","2,97","2,89","3,48"
BBML3,,,,,,,,,,,,,
BBSE3,"11,21","5,83","4,80","9,40","4,20","11,23","5,77","5,91","6,91","3,73",,,
BDLL3,,,,,,,,,,,"12,98",,
BDLL4,,,,,,,,,"31,56","10,75","13,90","8,70","22,34"
BEEF11,,,,,,,,,,,,,
BEEF3,"6,31","4,33","10,18","2,95",,,"2,48",,,,,"2,81","1,20"
BEES3,"7,26","10,63","7,05","3,90","4,79","5,81","2,39","1,17","4,59","0,71",,,"0,33"
BEES4,"6,29","9,02","5,94","3,53","4,46","4,04",,,,,,,
BFRE11,,,,,,,,,,,,,
BFRE12,,,,,,,,,,,,,
BGIP3,"8,71","3,78","3,16","1,64",,"4,25","10,04","1,78",,,,"6,66",
BGIP4,"10,66","6,39","5,10","2,89","2,03","4,87","11,81","2,49","4,81",,"3,40","7,22","7,05"
BIDI11,,,"0,27","0,17","0,23",,,,,,,,
BIDI3,,,"0,27","0,17","0,25",,,,,,,,
BIDI4,,,"0,27","0,17","1,84",,,,,,,,
BIOM3,,,,,,,,,,,"0,09","0,09",
BLAU3,"3,72","3,23","0,68",,,,,,,,,,
BLUT3,,,,,,,,,,,,,
BLUT4,,,,,,,,,,,,,
BMEB3,"6,70","5,21","9,83","3,78","0,41",,,"11,57","4,71","4,95","4,78","3,75","5,76"
BMEB4,"7,78","5,72","11,97","4,22","5,12","18,85","6,62","15,79","24,44","7,36","7,74","5,66","8,01"
BMGB4,"15,92","16,61","10,11","2,87","2,55",,,,,,,,
BMIN3,"5,06",,,"7,00",,"0,23",,"0,35",,,"0,55",,"0,41"
BMIN4,"8,28","6,41","11,34","7,04","7,04","9,90","0,13","2,45","10,54","6,29","4,92","2,21","3,13"
BMKS3,"18,34","5,66","3,33","2,41","3,05","6,31","10,00","7,90","13,94","8,66","10,98","27,12","111,43"
BMOB3,"1,86","1,41",,,,,,,,,,,
BNBR3,"3,96","5,89","6,54","3,54","3,88","4,55","6,00","3,29","20,42","7,45","6,67","0,42","3,12"
BOAS3,"3,20","3,68","1,45","0,43",,,,,,,,,
BOBR3,,,,,,,,,,,,,
BOBR4,,,,,,,,,,,,,
BPAC11,"2,41","2,74","4,10","1,29","1,85","2,86",,,,,,,
BPAC3,"1,76","1,69","2,24","0,88","1,17","5,46","6,80",,,,,,
BPAC5,"2,99","3,91","5,51","1,75","2,04","6,11","8,88",,,,,,
BPAN4,"3,04","4,59","2,10","3,90","0,72","3,13",,"0,26","0,12",,,,
BPAR3,"1,70","5,69",,,,,,,,,,,
BPAT33,,,,,,,,,,,,,
BPHA3,,,,,,,,,,,,"0,05",
BRAP3,"12,29","11,63","47,03","3,18","3,58","5,99","1,74","0,80","21,16","13,21","2,91","5,51","4,41"
BRAP4,"12,58","11,01","45,09","3,14","3,64","6,09","1,65","0,75","20,71","12,00","2,59","5,64","5,37"
BRBI11,"5,49","11,51",,,,,,,,,,,
BRBI3,,,,,,,,,,,,,
BRBI4,,,,,,,,,,,,,
BRFS3,,,,,,,,"1,58","2,16","1,49","2,20","0,27","1,99"
BRGE11,"2,42","4,91","4,83","3,50","2,10",,"6,83",,,"2,06",,,
BRGE12,,,"0,01",,"0,02","0,05","0,14","0,15","1,18",,"0,70",,
BRGE3,,,"0,01",,"0,01","0,04","0,21",,,,,,
BRGE5,"2,11",,,"2,41","0,64","10,96",,"9,43",,,,,
BRGE6,"5,10","6,30","8,17","3,81","5,97",,,,"3.386,32",,,,
BRGE7,"3,32",,,,,"12,23",,,,,,,
BRGE8,"2,19","3,40","3,17","3,68","2,54",,,,,,,,
BRIN3,"0,83",,,,,,,,"0,13","12,84","9,45","4,92","20,53"
BRIT3,"0,88","0,04",,,,,,,,,,,
BRIV3,"1,46","0,58","0,26",,,,"2,42","3,32","1,35","1,31","1,19",,
BRIV4,"2,85","6,57","8,22","7,54","5,13","7,81","7,90","12,36","6,55","5,42","3,60",,
BRKM3,,"6,71","13,28",,"2,66","4,14","2,89","8,38","3,81","5,61",,"6,30","7,07"
BRKM5,,"7,14","13,08",,"2,81","3,98","2,93","7,34","2,19","3,46",,"4,73","6,51"
BRKM6,,,"1,78",,"2,53",,,"1,35","3,79",,,,
BRML3,,"0,65",,,"4,93","0,73","0,52",,"4,12","2,86","2,79","0,56","0,91"
BRPR3,,"1,62","2,69","0,87",,"1,99","0,44",,"29,14","63,90","5,52","1,52","0,59"
BRQB3,,,,,,,,,,,,,
BRSR3,"6,92","8,23","8,04","4,17","5,41","6,29","1,03","5,35","10,01","5,21","3,10","4,86","5,27"
BRSR5,"4,96","5,08","7,13","3,41","5,16","5,89","1,23","5,42",,"4,98",,"4,08",
BRSR6,"7,10","9,09","9,88","4,51","5,75","6,07","1,82","5,60","15,37","4,56","3,19","4,01","3,85"
BSEV3,,,,,,,,,,,"0,09",,
BSLI3,"1,25","5,81","1,75","2,56","0,50",,,,,,,,
BSLI4,"1,54","8,00","2,99",,,,,,,,,,
BTTL4,,,,,,,,,,,,,
CALI3,"3,17","52,30",,,,,,,,,,,
CALI4,,,,,,"3,92",,,,,,,
CAMB3,"2,52","2,96",,,,,,,,,,,
CAMB4,"3,18",,,,,,,,,,,"2,12",
CAML3,"2,57","4,41","2,17","5,27","1,99","2,28",,,,,,,
CASH3,,,"1,14",,,,,,,,,,
CASN3,"0,23",,,,,,,,,,,"0,05",
CASN4,"0,29",,,,,,,,,,,,
CATA3,"38,09",,,,,,,,,,,,
CATA4,,,,,,,,,,,,,
CBAV3,"9,39","3,32",,,,,,,,,,,
CBEE3,,"2,65","0,30","2,00","1,23",,,,"1,33","3,78","4,63","0,53","0,70"
CCRO3,"2,68","3,51","1,43","3,58","4,02","5,30","3,94","4,44","4,74","5,15","4,15","3,07","14,88"
CCXC3,,,,,,,,,,,,,
CEAB3,,,,,,,,,,,,,
CEBR3,"10,97","34,76","594,84","1,33","0,09",,,,,,"15,41",,
CEBR5,"11,03","31,62","600,49","2,53","6,02","11,06",,,,,"18,38",,
CEBR6,"11,16","38,54","676,39","1,26","0,10",,,,,,"22,07",,
CEDO3,,,,,,,,,,"2,38",,"4,36","19,87"
CEDO4,,,,,,,,,,"2,06","6,22","5,79","17,70"
CEEB3,"4,83","16,26","19,55","1,12","10,38","1,78","3,18","7,51","3,99","2,45","3,82",,"4,17"
CEEB5,"3,68","20,57",,"1,13","10,66",,,"7,24",,"2,49",,,"4,35"
CEEB6,"3,64",,,,,,,,,,,,
CEED3,,,,,,,,,,,,,
CEED4,,,,,,,,,,,,,
CEGR3,"1,16",,"4,36","0,16","3,55","2,68",,,"3,27","8,63","5,00",,
CEPE3,"0,43",,,"1,29",,,,,,,,,
CEPE5,"1,35",,"11,55","4,81","4,75","3,74","8,50","3,62","5,37","7,29","1,12","3,79","6,63"
