TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;119,48;0,74;25,99;6,07;3,25;54,59;24,57;19,19;17,37;21,20;0,90;0,27;4,99;15,38;-5,13;2,37;23,37;12,52;16,94;0,54;0,46;0,65;8,90;12,89;;19,73;4,61;;35.113.120.000,00
AA;28,43;1,40;-3,46;1,05;0,36;6,30;-10,53;-13,56;-9,42;-5,96;-1,49;0,35;0,47;2,46;-0,54;1,80;-30,44;-10,43;-18,61;0,34;0,66;0,77;1,34;;;27,13;-8,26;;5.105.443.056,00
AACG;1,22;;-3,72;1,68;0,54;51,68;-31,49;-32,34;;-3,21;0,61;-0,27;1,20;-1,15;-0,62;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;106,31;;;0,72;-0,33;;38.534.798,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;14,61;;3,64;-2,19;0,14;61,60;10,52;4,98;1,72;5,60;3,88;;0,18;-1,57;-0,20;0,75;-60,07;3,92;15,70;-0,07;1,07;0,79;2,82;-37,02;;-6,71;4,03;;9.591.360.032,00
AAME;2,04;0,98;-14,54;0,40;0,12;7,11;-0,64;-1,57;-15,32;-29,12;6,45;-0,07;0,23;;-0,12;;-2,74;-0,81;-1,74;0,30;0,70;0,52;0,73;-19,56;;5,12;-0,14;;41.620.692,00
AAN;11,90;3,96;-172,04;0,52;0,20;51,23;0,09;-0,10;0,64;252,89;72,05;0,21;0,16;-3,24;-0,37;0,88;-0,30;-0,12;-1,01;0,39;0,61;1,25;4,77;;;23,02;-0,07;;370.736.690,00
AAOI;13,13;;-6,18;2,62;1,20;15,55;-28,78;-32,46;-11,11;-8,56;-1,59;0,60;2,01;-9,96;-2,01;0,77;-42,34;-19,37;-21,20;0,46;0,54;0,60;-10,24;;;5,08;-2,15;;427.313.040,00
AAON;60,78;0,79;33,51;7,56;5,36;30,11;17,20;14,22;22,63;27,99;0,28;0,08;4,76;18,44;-9,86;2,76;22,55;16,01;20,42;0,71;0,29;1,13;17,01;13,27;;8,09;1,82;;4.987.972.640,00
AAP;65,22;7,23;9,01;1,48;0,32;44,03;5,28;3,63;4,16;8,86;2,66;0,64;0,33;3,21;-0,65;1,24;16,45;3,56;11,07;0,22;0,78;0,98;3,54;1,09;;44,35;7,29;;3.904.869.791,00
AAPL;179,38;0,52;29,57;49,62;8,12;43,06;29,28;24,56;22,55;25,33;0,53;1,05;7,26;-330,78;-12,91;0,94;167,77;27,45;56,70;0,16;0,84;1,12;11,46;15,60;;3,63;6,09;;2.814.630.786.960,00
AAWW;102,48;;8,25;0,96;0,44;53,54;11,66;7,82;3,32;8,47;2,94;0,51;0,65;-63,29;-0,53;0,96;11,61;5,31;7,87;0,46;0,54;0,68;16,10;9,75;;107,04;12,43;;2.934.330.336,00
AB;31,28;8,33;14,33;;1,74;;;;;;;;;;-1,74;;;12,14;;0,00;0,00;0,00;;5,74;;0,00;2,19;;3.555.695.370,00
ABB;37,12;2,48;17,32;5,68;1,80;32,37;17,56;13,65;;13,66;0,20;0,09;2,36;89,85;-3,35;1,04;32,76;10,36;24,67;0,32;0,68;0,76;3,17;2,26;;6,54;2,14;;69.002.074.752,00
ABBV;146,92;3,97;29,94;20,21;1,92;68,91;22,01;15,50;12,33;25,32;4,24;4,06;4,64;-76,77;-2,44;0,89;67,50;6,42;14,31;0,10;0,90;0,41;15,52;17,39;;7,29;4,92;;260.009.029.377,00
ABC;179,84;1,35;21,40;52,71;0,59;3,42;0,91;0,66;11,34;17,18;1,57;5,29;0,14;-6,24;-1,79;0,88;246,27;2,76;33,33;0,01;0,99;4,16;9,27;36,05;;3,42;8,41;;36.161.754.160,00
ABCB;40,07;1,49;9,33;0,85;0,11;0,00;34,20;21,86;5,38;2,99;-2,97;-0,42;2,04;;-0,11;;9,07;1,15;7,81;0,13;0,87;0,05;24,19;36,34;;47,51;4,31;;2.778.708.467,00
ABCL;5,52;;-21,57;1,33;1,04;100,00;-46,10;-50,91;-52,33;-11,56;12,26;-0,69;10,98;1,96;-2,63;7,83;-6,19;-4,81;-5,85;0,78;0,22;0,09;;;;4,13;-0,26;;1.594.351.009,00
ABCM;22,48;;;;;;;;;;;-0,15;;;;1,13;0,00;0,00;;0,67;0,33;0,00;;;;3,93;0,00;;5.180.255.905,00
ABEO;3,91;;-2,46;10,36;1,81;100,00;-1.086,80;-1.101,91;-2,75;-1,54;0,96;-3,97;27,13;2,80;-10,18;4,67;-420,72;-73,42;-414,95;0,17;0,83;0,07;11,06;;;0,38;-1,59;;96.795.569,00
ABEV;2,85;4,35;16,00;2,57;1,66;49,32;23,08;17,72;;11,37;-0,91;-0,19;2,83;35,76;-2,34;1,19;16,06;10,35;19,01;0,64;0,36;0,58;0,13;4,20;;1,11;0,18;;44.878.063.365,00
ABG;221,24;;4,90;1,49;0,56;19,57;9,38;6,28;3,09;5,57;2,29;1,04;0,31;4,80;-0,74;1,91;30,50;11,46;17,23;0,38;0,62;1,82;19,04;48,29;;149,14;45,49;;4.583.125.800,00
ABIO;2,03;;-4,62;0,75;0,71;;;;-4,70;1,72;6,34;-1,02;;0,75;-89,18;25,44;-16,14;-15,42;-16,14;0,96;0,04;0,00;;;;2,72;-0,44;;29.252.503,00
ABM;45,47;1,87;15,42;1,70;0,61;100,00;4,21;2,47;6,69;12,95;3,92;0,74;0,38;5,18;-0,93;1,53;10,99;3,97;8,34;0,36;0,64;1,61;7,44;127,27;;26,95;2,96;;3.022.872.200,00
ABMD;381,02;;64,40;11,16;10,13;81,32;31,76;24,84;46,32;47,95;-2,40;-0,53;16,00;18,50;-27,11;7,93;17,32;15,72;17,32;0,91;0,09;0,63;18,30;21,24;;34,15;5,92;;17.180.649.024,00
ABNB;125,20;;34,86;15,85;3,78;82,33;26,80;25,31;32,30;33,24;0,33;0,16;8,82;12,47;-70,58;1,47;45,46;10,86;14,30;0,24;0,76;0,43;26,81;;;7,93;3,60;;80.175.204.340,00
ABST;11,49;1,56;57,33;-14,16;4,68;87,94;14,58;10,16;22,38;36,85;-3,08;;5,82;-36,16;-13,87;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,81;0,20;;609.650.208,00
ABT;101,97;1,96;34,38;4,77;2,42;55,16;17,11;12,83;17,55;27,04;1,26;0,23;4,41;19,38;-3,56;1,64;13,88;7,04;10,68;0,51;0,49;0,55;9,77;70,80;;21,42;2,97;;177.457.709.080,00
ABTX;41,63;0,34;10,98;1,18;0,12;0,00;38,18;28,90;7,09;-11,75;-20,06;-2,84;3,17;;-0,12;;10,73;1,12;11,72;0,10;0,90;0,04;19,36;28,98;;35,34;3,79;;830.943.126,00
ABUS;2,01;;-4,64;2,51;1,91;100,00;-305,18;-309,89;-4,72;-2,59;2,12;-1,13;14,38;2,52;-18,78;6,47;-54,15;-41,25;-53,32;0,76;0,24;0,13;29,53;;;0,80;-0,44;;338.464.534,00
AC;37,29;0,54;-54,04;0,89;0,86;100,00;-149,89;-100,92;-36,95;-18,53;17,85;-0,44;54,54;;-0,86;;-1,65;-1,59;-3,39;0,96;0,03;0,02;-10,87;;;41,77;-0,69;;808.779.081,00
ACA;77,01;0,26;13,27;1,65;1,08;19,50;17,30;12,65;6,93;10,61;0,90;0,15;1,68;6,78;-1,49;2,32;12,44;8,10;11,10;0,65;0,35;0,64;8,93;22,34;;46,70;5,81;;3.758.071.926,00
ACAC;10,97;;109,32;-21,97;1,64;;;;66,14;65,76;-0,38;;;-148,31;-1,66;0,51;-20,10;1,50;-20,06;-0,07;0,09;0,00;;;;-0,50;0,10;;63.624.903,00
ACACU;11,00;;109,62;-22,03;1,64;;;;66,32;65,76;-0,38;;;-148,72;-1,66;0,51;-20,10;1,50;-20,06;-0,07;0,09;0,00;;;;-0,50;0,10;;63.624.903,00
ACACW;0,06;;0,60;-0,12;0,01;;;;0,36;65,76;-0,38;;;-0,81;-0,01;0,51;-20,10;1,50;-20,06;-0,07;0,09;0,00;;;;-0,50;0,10;;63.624.903,00
ACAD;28,07;;-41,70;11,67;7,19;97,52;-19,22;-20,12;-42,10;-40,09;3,54;-0,95;8,39;15,16;-30,77;2,62;-28,00;-17,24;-28,00;0,62;0,38;0,86;32,87;;;2,42;-0,68;;4.620.429.558,00
ACAM;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMU;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMW;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACB;0,43;;-0,12;0,32;0,19;9,59;-104,57;-776,01;;0,19;1,10;-0,38;0,95;0,35;-0,62;5,13;-259,32;-158,40;-25,99;0,61;0,39;0,20;24,35;;;1,39;-3,60;;165.807.972,00
ACBI;32,34;;13,56;1,80;0,16;0,00;53,98;40,56;8,69;-17,34;-27,53;-4,88;5,50;;-0,16;;13,31;1,15;14,52;0,09;0,91;0,03;13,36;;;17,92;2,39;;656.653.998,00
ACCD;13,07;;-6,34;2,17;1,12;44,59;-41,93;-41,86;-9,37;-6,20;0,13;-0,04;2,65;4,17;-1,87;3,09;-34,18;-17,73;-21,15;0,52;0,48;0,42;;;;6,01;-2,05;;983.959.310,00
ACCO;4,89;6,07;-17,24;0,56;0,17;30,10;3,05;-1,45;3,41;25,55;17,37;1,20;0,25;1,12;-0,25;1,79;-3,28;-0,96;1,43;0,29;0,71;0,67;-0,01;;;8,75;-0,29;;468.891.956,00
