TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;112,31;0,79;29,08;5,93;3,09;50,93;21,02;16,20;18,81;23,35;0,99;0,26;4,71;14,52;-4,96;2,29;20,39;10,61;14,72;0,52;0,48;0,66;8,90;12,89;;19,00;3,87;;32.860.479.663,00
AA;28,09;1,42;-3,40;1,04;0,35;6,30;-10,53;-13,56;-9,25;-5,88;-1,49;0,35;0,46;2,42;-0,53;1,80;-30,44;-10,43;-18,61;0,34;0,66;0,77;1,34;;;27,13;-8,26;;5.012.649.264,00
AACG;1,15;;-3,51;1,59;0,50;51,68;-31,49;-32,34;;-2,99;0,61;-0,27;1,13;-1,09;-0,59;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;106,31;;;0,72;-0,33;;36.323.785,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;12,95;;3,23;-1,94;0,13;61,60;10,52;4,98;1,53;5,40;3,88;;0,16;-1,40;-0,17;0,75;-60,07;3,92;15,70;-0,07;1,07;0,79;2,82;-37,02;;-6,71;4,03;;8.461.043.080,00
AAME;1,91;1,05;84,71;0,38;0,10;9,75;1,90;0,25;7,26;5,83;-5,13;-0,18;0,21;;-0,10;;0,44;0,12;3,11;0,28;0,72;0,50;0,73;-19,56;;5,07;0,02;;38.968.393,00
AAN;10,61;4,63;-150,98;0,46;0,18;51,23;0,09;-0,10;0,56;231,36;72,05;0,21;0,14;-2,85;-0,32;0,88;-0,30;-0,12;-1,01;0,39;0,61;1,25;4,77;;;23,02;-0,07;;326.594.020,00
AAOI;10,98;;-5,16;2,19;1,00;15,55;-28,78;-32,46;-9,28;-7,34;-1,59;0,60;1,68;-8,32;-1,68;0,77;-42,34;-19,37;-21,20;0,46;0,54;0,60;-10,24;;;5,08;-2,15;;352.774.224,00
AAON;57,78;0,97;31,75;7,16;5,08;30,11;17,20;14,22;21,45;26,47;0,28;0,08;4,51;17,47;-9,34;2,76;22,55;16,01;20,42;0,71;0,29;1,13;17,01;13,27;;8,09;1,82;;4.715.396.910,00
AAP;54,99;5,91;8,62;1,20;0,27;43,53;5,07;3,37;3,78;8,56;2,81;0,59;0,29;2,51;-0,55;1,26;13,92;3,08;9,90;0,22;0,78;0,91;3,54;1,09;;45,79;6,37;;3.270.866.500,00
AAPL;170,78;0,55;28,19;47,30;7,74;43,06;29,28;24,56;21,50;24,05;0,53;1,05;6,92;-315,31;-12,31;0,94;167,77;27,45;56,70;0,16;0,84;1,12;11,46;15,60;;3,63;6,09;;2.670.014.140.960,00
AAWW;102,48;;8,25;0,96;0,44;53,54;11,66;7,82;3,32;8,47;2,94;0,51;0,65;-63,29;-0,53;0,96;11,61;5,31;7,87;0,46;0,54;0,68;16,10;9,75;;107,04;12,43;;2.934.330.336,00
AB;30,66;8,47;14,09;;1,71;;;;;;;;;;-1,71;;;12,14;;0,00;0,00;0,00;;5,74;;0,00;2,19;;3.478.545.630,00
ABB;37,12;2,48;17,32;5,68;1,80;32,37;17,56;13,65;;13,66;0,20;0,09;2,36;89,85;-3,35;1,04;32,76;10,36;24,67;0,32;0,68;0,76;3,17;2,26;;6,54;2,14;;69.002.074.752,00
ABBV;152,05;3,85;30,85;20,83;1,98;68,91;22,01;15,50;12,71;26,00;4,24;4,06;4,78;-79,11;-2,52;0,89;67,50;6,42;14,31;0,10;0,90;0,41;15,52;17,39;;7,29;4,92;;268.304.748.867,00
ABC;179,95;1,35;21,39;52,69;0,59;3,42;0,91;0,66;11,34;17,17;1,57;5,29;0,14;-6,24;-1,79;0,88;246,27;2,76;33,33;0,01;0,99;4,16;9,27;36,05;;3,42;8,41;;36.143.677.300,00
ABCB;37,66;1,99;8,76;0,79;0,10;0,00;34,20;21,86;5,05;2,62;-2,97;-0,42;1,91;;-0,10;;9,07;1,15;7,81;0,13;0,87;0,05;24,19;36,34;;47,51;4,31;;2.604.477.431,00
ABCL;4,65;;-18,24;1,13;0,88;100,00;-46,10;-50,91;-44,26;-7,93;12,26;-0,69;9,29;1,66;-2,22;7,83;-6,19;-4,81;-5,85;0,78;0,22;0,09;;;;4,13;-0,26;;1.351.292.053,00
