,stocks,MIN_MES,MAX_MES,MIN_52S,MAX_52S,VAL_12M,VAL_MES,SEGMENTO
0,ABCB4,"19,63","19,63","15,27","21,24","-4,20","0,00",Bancos
1,ALSO3,"22,03","22,03","15,15","25,47","7,83","0,00",Exploração de Imóveis
2,BBAS3,"47,05","47,05","29,19","50,89","24,37","0,00",Bancos
3,BBDC3,"12,51","12,51","11,03","16,50","-23,44","0,00",Bancos
4,BBDC4,"14,11","14,11","12,35","20,21","-29,45","0,00",Bancos
5,BGIP3,"24,90","28,99","21,06","33,22","1,23","5,38",Bancos
6,BGIP4,"23,00","23,00","15,08","27,39","40,50","0,00",Bancos
7,BRSR3,"12,39","12,39","9,58","14,71","1,89","0,00",Bancos
8,BRSR5,"17,83","18,90","13,22","19,57","11,37","3,17",Bancos
9,BRSR6,"11,98","11,98","8,56","15,00","5,55","0,00",Bancos
10,CATA3,"103,61","113,46",,,,,Fios e Tecidos
11,CGRA3,"25,00","25,00","24,75","33,74","-24,97","0,00",Tecidos. Vestuário e Calçados
12,CGRA4,"26,35","26,35","23,97","32,87","-19,05","0,00",Tecidos. Vestuário e Calçados
13,CIEL3,"3,54","3,54","3,28","5,69","-35,40","0,00",Serviços Financeiros Diversos
14,CLSC3,"60,41","63,00","42,93","64,49","31,38","0,11",Energia Elétrica
15,CLSC4,"64,70","64,70","45,59","66,01","15,76","0,00",Energia Elétrica
16,COCE5,"45,38","45,38","36,78","57,80","-2,93","0,00",Energia Elétrica
17,COCE6,"4,05","4,05",,,,,Energia Elétrica
18,CSMG3,"17,02","17,02","12,87","20,81","18,11","0,00",Água e Saneamento
19,EALT3,"8,10","8,10","6,95","9,77","-10,10","0,00",Máq. e Equip. Industriais
20,EALT4,"8,60","8,60","6,25","9,28","2,99","0,00",Máq. e Equip. Industriais
21,ETER3,"7,63","7,63","7,63","14,60","-40,48","0,00",Produtos para Construção
22,EUCA3,"13,70","13,70","9,24","18,80","14,64","0,00",Madeira
23,EUCA4,"12,37","12,37","6,07","13,25","70,62","0,00",Madeira
24,EVEN3,"6,02","6,02","4,15","7,73","-12,75","0,00",Incorporações
25,GGBR3,"21,94","21,94","18,15","25,88","20,88","0,00",Siderurgia
26,GGBR4,"23,77","23,77","22,43","32,10","5,97","0,00",Siderurgia
27,GOAU3,"10,95","10,95","9,07","13,04","20,73","0,00",Siderurgia
28,GOAU4,"11,04","11,04","9,82","13,95","12,42","0,00",Siderurgia
29,HBTS5,"56,50","56,50","23,00","56,70","96,45","0,00",Exploração de Imóveis
30,IGTI3,"2,62","2,62","2,19","2,97","-9,97","0,00",Exploração de Imóveis
31,JHSF3,"4,59","4,59","3,29","6,97","-34,15","0,00",Incorporações
32,LOGG3,"19,15","19,15","13,78","24,88","-21,64","0,00",Exploração de Imóveis
33,MELK3,"4,46","4,46","2,59","4,91","7,47","0,00",Incorporações
34,MMAQ4,"48,80","61,38",,,,,Material de Transporte
35,MTRE3,"4,45","4,45","2,87","6,96","-4,09","0,00",Incorporações
36,NEOE3,"18,50","18,50","13,08","21,99","20,92","0,00",Energia Elétrica
37,PINE3,"4,16","4,16","1,41","4,16","195,04","0,00",Bancos
38,PINE4,"3,79","3,79","1,37","4,36","139,87","0,00",Bancos
39,POSI3,"6,92","6,92","5,92","12,03","-42,48","0,00",Computadores e Equipamentos
40,SAPR11,"22,65","22,65","15,24","23,67","33,39","0,00",Água e Saneamento
41,SAPR3,"4,40","4,40","2,88","4,54","36,22","0,00",Água e Saneamento
42,SAPR4,"4,56","4,56","3,11","4,76","34,51","0,00",Água e Saneamento
43,TECN3,"3,38","3,38","1,95","3,75","48,90","0,00",Acessórios
44,TKNO4,"60,00","61,00","53,64","72,31","-13,21","-1,64",Artefatos de Ferro e Aço
45,TRIS3,"5,13","5,13","2,77","6,99","1,18","0,00",Incorporações
46,TRPL4,"23,22","23,22","21,40","25,78","-2,76","0,00",Energia Elétrica
47,UCAS3,"2,53","2,53","2,32","3,15","-10,92","0,00",Móveis
