,P/L,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
ABCB4,"5,35","5,62","6,37","10,16","8,86","8,25","7,64","6,19","3,57","6,21","6,85","7,95","7,18"
ABEV3,"15,39","15,82","19,16","21,64","24,93","21,99","46,01","20,54","22,58","21,24",,,
AFLT3,"14,33","15,60","5,61","33,25","27,67","15,48","25,05","13,33",,"13,60","11,36","10,70","14,70"
AGRO3,"9,88","6,75","5,67","4,89","9,05","5,01","5,77","23,02",,,,,
ALUP11,"11,52","9,01","6,33","8,43","9,08","13,89","13,96","13,77","13,10","10,13","3,06",,
ALUP3,"11,54","8,77","6,38","8,36","11,26","17,05","18,11","19,62",,,,,
ALUP4,"11,48","9,14","6,34","8,31","8,34","12,41","12,14","10,63",,,,,
ARZZ3,"20,61","20,30","22,16","139,82","35,64","34,65","31,46","19,15","15,56","21,19","23,84","36,15","22,42"
B3SA3,"17,49","19,06","14,47","30,47","32,60","26,45","36,19","20,71","8,98","19,15","20,25","25,80","19,11"
BAZA3,"3,37","2,49","1,66","4,71","4,31","6,49","11,49","637,46","2,98","4,04","5,36","6,44","15,09"
BBAS3,"4,13","3,33","4,19","8,36","9,23","9,64","8,58","11,45","3,00","5,75","6,70","6,52","5,35"
BBDC3,"8,40","6,77","6,73","13,39","13,07","13,72","11,46","9,04","5,71","9,43","10,84","11,50","8,83"
BBDC4,"9,40","7,61","7,99","15,01","13,87","15,66","12,10","9,00","5,37","9,63","9,87","11,91","10,73"
BBSE3,"8,66","11,15","10,55","15,39","11,32","15,59","14,07","14,10","11,57","18,61",,,
BEES3,"8,30","5,04","6,65","7,77","9,25","8,49","6,81","5,70","3,64","4,42","0,67","1,11","14,25"
BEES4,"9,58","5,94","7,89","8,58","9,94","8,73","7,25","5,77","3,54","4,53","0,61","1,01","11,51"
BGIP4,"6,35","3,47","4,45","7,63","7,04","8,68","6,42","3,42","6,30",,"9,03","5,77","5,72"
BMEB3,"6,61","5,25","6,25","4,74","6,19","6,51","4,12","14,60","3,11","-1,52","6,87","4,20","7,51"
BMEB4,"6,26","5,26","5,64","4,67","6,13","6,49","3,18","11,77","1,87","-1,02","4,69","3,06","5,94"
BMGB4,"10,95","21,26","10,73","11,75","5,05",,,,,,,,
BMIN4,"7,50","6,56","24,58","39,11","43,10","14,06","-10,46","0,17","5,85","10,97","22,35","9,41","12,94"
BMKS3,"5,33","5,47","13,46","32,90","46,56","34,66","19,53","8,24","9,05","10,58","19,21","16,38","6,34"
BNBR3,"3,46","3,21","3,89","6,44","4,72","4,52","4,46","3,00","7,77","2,83","6,94","2,01","9,67"
BPAC11,"14,11","11,71","9,26","25,91","17,84","16,46","8,36",,,,,,
BPAC3,"19,29","18,96","16,97","37,75","28,11","17,41","10,72",,,,,,
BPAC5,"11,39","8,22","6,88","19,03","16,17","15,54","8,21",,,,,,
BPAN4,"17,33","11,56","17,69","18,31","19,46","11,23","17,47","-9,08","10,46","15,24",,,
BRAP3,"3,09","2,70","1,06","13,58","-30,53","8,57","3,71","6,99","-0,60","40,68","-148,73","21,97","6,05"
BRAP4,"3,32","3,13","1,22","15,11","-33,04","9,26","4,31","8,25","-0,67","49,25","-183,75","23,61","5,47"
BRGE11,"10,01","6,76","26,14","18,04","23,49",,"6,30",,,"6,88","5,35",,
BRGE6,"9,51","10,53","30,91","33,17","16,48",,,,"6,19",,,,
BRGE8,"9,23","8,12","33,15","14,34","16,15",,,,,,,,
BRIV4,"9,55","6,89","8,77","10,70","11,45","10,88","11,20","5,58","7,42","9,54","5,64",,
BRSR3,"6,32","5,20","4,47","10,39","7,41","9,64","9,86","6,36","4,18","8,37","7,10","6,28","6,40"
BRSR5,"8,95","8,54","6,34","13,05","8,02","10,81","8,22","6,29",,"8,85",,"7,80",
BRSR6,"6,16","4,71","3,64","9,61","6,98","9,99","5,57","5,80","2,72","9,55","6,88","7,61","8,76"
BSLI3,"50,39","71,89","14,38","14,66","4,90","4,98",,,,,,,"8,44"
CAML3,"6,03","8,43","8,81","8,85","15,42","7,98",,,,,,,
CCRO3,"19,23","5,29","33,66","142,43","26,66","28,90","18,15","16,44","25,34","20,17","23,22","29,17","6,00"
CEBR3,"5,20","3,74","0,92","4,17","6,59",,,"3,71","5,23",,"-1,54","2,66","7,12"
CEBR5,"5,17","4,11","0,91","5,17","7,90","5,69","3,21","3,84",,"-1,21","-2,40","3,83","7,84"
CEBR6,"5,62","3,71","0,89","4,87","6,48",,"2,76","2,95","5,88","-1,03","-1,64","2,66","7,26"
CEEB3,"6,74","6,63","5,26","9,56","1,11","1,26","25,40","16,88","14,53","10,07","11,55","11,78","12,04"
CGAS3,"37,03","9,51","9,32","20,05","13,85","6,10","11,17","5,73","6,45","9,56","10,07","17,56","21,56"
CGAS5,"38,19","9,47","9,44","19,89","13,81","5,79","12,19","6,49","6,91","9,72","11,28","18,92","22,23"
CGRA3,"5,16","4,59","4,39","9,93","4,63","8,48","9,24","5,82","4,82","6,50","7,12","9,19","8,42"
CGRA4,"5,50","4,34","4,20","9,93","4,59","8,85","9,74","5,67","4,24","6,34","7,57","9,19","8,34"
CIEL3,"5,29","10,09","6,38","22,17","14,36","7,23","15,75","15,76","15,04","20,35","19,30","13,37","14,54"
CLSC3,"3,90","3,67","4,15","4,34","9,21",,,,,,,,
CLSC4,"4,06","4,00","4,66","4,20","9,88",,,,,,,,
CMIG3,"6,32","8,69","8,36","8,70","7,27","12,90","8,06","29,67","3,28","5,54","4,40","4,37","7,71"
CMIG4,"4,04","5,99","5,92","7,59","6,43","11,89","8,64","29,03","3,13","5,27","4,35","4,51","9,40"
COCE5,"5,44","5,48","9,26","17,62","12,00","10,25","9,78","9,90","7,72","12,24","20,89","8,34","5,69"
CPFE3,"7,11","7,50","6,51","10,29","13,39","14,27","16,70","28,48","17,43","9,74","19,60","17,51","7,96"
CPLE3,"12,38","16,91","3,38","4,91","9,50","5,80","5,67","5,83","3,67","5,65","5,69","9,84","7,81"
CPLE6,"13,06","19,47","3,56","5,25","9,50","5,94","6,61","8,36","5,58","8,15","7,79","12,38","9,20"
CRFB3,"17,18","17,88","9,63","14,41","45,72","21,60",,,,,,,
CRIV4,"31,88","13,72","7,60","12,20","10,42","8,56","7,62","9,56","9,45","9,65","7,82",,
CRPG5,"11,40","12,31","7,23","5,45","5,29","5,22","4,61","1,66","-421,93",,,,
CRPG6,"9,15","11,80","7,50","5,43","5,27","4,96","4,58","1,71","-419,71",,,,
CSAB4,"22,47","19,38","35,26","7,52","19,93",,"21,29","6,87","7,15","6,81","21,76","16,52","7,88"
CSAN3,"-28,23","27,28","6,64","35,05","11,44","8,26","12,87","14,99","17,69","40,23","68,83","27,14","4,22"
CSMG3,"6,35","7,07","8,99","7,64","11,42","13,48","9,81","10,06","-160,03","9,47","10,61","10,47","8,29"
CSNA3,"-27,20","12,42","2,83","11,65","10,94","2,42","1.131,96","-16,11","-4,57","-77,32","41,19","-41,16","6,11"
CSRN3,"6,87","6,19","5,01","8,59","11,51","11,93","16,34","14,13","8,58","6,45",,"8,49","10,14"
CSUD3,"8,28","6,93","9,02","13,48","19,10","8,78","9,11","5,87","6,55","12,88","811,74","8,79","9,87"
CYRE3,"9,10","6,46","6,90","6,69","28,54","-73,30","-55,63","27,12","6,70","6,97","8,47","11,46","12,60"
DIRR3,"11,29","11,23","11,95","17,76","22,90","-14,85","-6,03","-58,97","4,35","6,12","8,17","9,76","7,23"
DXCO3,"9,34","7,51","6,60","29,18","28,52","18,96","34,43","198,94","21,40","13,69","15,30","17,79","13,11"
EALT3,"5,96","5,47","7,71","11,44","18,69","7,46",,,"424,18","7,64",,,
EALT4,"6,25","4,07","4,71","4,55","8,75","7,88",,,"244,55","6,15","6,27","8,15","6,73"
EGIE3,"10,41","11,61","20,04","12,82","17,94","9,31","11,57","14,77",,,,,
EKTR3,"6,90","6,31","8,03","7,56","9,79",,,,,,,,
