,ROE,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
ABCB4,"14,50","15,09","11,94","7,87","12,23","11,14","12,57","13,08","14,75","14,37","13,45","13,88","15,30"
AGRO3,"12,22","20,50","23,83","28,32","13,58","23,43","18,93","3,97","1,06","30,97","-2,28","5,14","-0,98"
ALUP11,"10,19","13,20","17,03","16,38","17,80","8,94","8,52","10,72","8,33","14,79","11,29","13,49","12,43"
ALUP3,"10,19","13,20","17,03","16,38","17,80","8,94","8,52","10,72","8,33","14,79","11,29","13,49","12,43"
ALUP4,"10,19","13,20","17,03","16,38","17,80","8,94","8,52","10,72","8,33","14,79","11,29","13,49","12,43"
BAZA3,"22,87","23,18","25,05","10,99","12,52","5,63","3,42","6,67","12,94","6,80","11,23","8,39","4,06"
BBAS3,"20,01","18,78","13,82","10,63","15,22","13,57","10,92","8,14","17,04","14,49","14,26","16,26","19,91"
BBDC3,"9,78","13,41","15,61","11,01","15,56","13,34","14,56","16,99","19,97","18,64","17,24","15,87","18,53"
BEES3,"16,14","17,36","12,57","13,15","13,54","10,44","12,06","11,52","13,27","13,29","11,67","8,38","9,57"
BEES4,"16,14","17,36","12,57","13,15","13,54","10,44","12,06","11,52","13,27","13,29","11,67","8,38","9,57"
BGIP4,"10,32","12,68","14,92","11,14","19,27","15,41","23,21","19,59","9,41","2,50","20,87","34,13","39,79"
BMEB3,"15,91","15,18","17,26","17,94","12,51","7,00","8,54","2,16","13,45","-29,20","8,92","16,10","11,17"
BMEB4,"15,91","15,18","17,26","17,94","12,51","7,00","8,54","2,16","13,45","-29,20","8,92","16,10","11,17"
BNBR3,"22,64","22,40","21,64","16,51","32,00","17,35","19,10","21,77","10,75","22,19","11,85","30,57","13,51"
BRIV4,"5,88","7,23","4,72","4,81","4,58","3,65","3,49","6,55","6,49","5,29","7,58","6,94","5,86"
BRSR3,"8,61","8,85","11,94","7,51","16,27","12,33","14,88","10,83","13,59","10,69","14,04","16,35","20,38"
BRSR5,"8,61","8,85","11,94","7,51","16,27","12,33","14,88","10,83","13,59","10,69","14,04","16,35","20,38"
BRSR6,"8,61","8,85","11,94","7,51","16,27","12,33","14,88","10,83","13,59","10,69","14,04","16,35","20,38"
CEBR3,"18,78","20,09","150,84","63,74","15,18","15,32","20,60","17,93","4,30","-90,28","-31,01","9,34","4,98"
CEBR5,"18,78","20,09","150,84","63,74","15,18","15,32","20,60","17,93","4,30","-90,28","-31,01","9,34","4,98"
CEBR6,"18,78","20,09","150,84","63,74","15,18","15,32","20,60","17,93","4,30","-90,28","-31,01","9,34","4,98"
CEEB3,"25,40","26,51","27,02","19,95","19,34","12,27","5,59","8,79","11,25","17,22","20,18","24,98","32,66"
CGRA3,"11,41","14,31","23,36","11,23","22,09","10,80","12,84","13,94","10,80","14,86","14,16","11,89","12,20"
CGRA4,"11,41","14,31","23,36","11,23","22,09","10,80","12,84","13,94","10,80","14,86","14,16","11,89","12,20"
CLSC3,"19,14",,"21,48","26,13","20,15","9,16","3,61","-0,47","5,87","21,89","9,30","-13,45","14,18"
CLSC4,"19,14",,"21,48","26,13","20,15","9,16","3,61","-0,47","5,87","21,89","9,30","-13,45","14,18"
CMIG3,"28,07","18,79","19,28","16,39","19,69","11,66","6,99","2,59","19,01","27,80","24,56","35,47","20,57"
CMIG4,"28,07","18,79","19,28","16,39","19,69","11,66","6,99","2,59","19,01","27,80","24,56","35,47","20,57"
CPFE3,"31,00","31,37","31,35","26,14","20,80","20,05","13,16","8,69","11,27","13,67","13,35","17,06","21,92"
CRPG5,"14,88","8,45","31,54","25,34","19,03","30,58","17,53","19,92","-6,12","-14,23","2,73","12,15","8,74"
CRPG6,"14,88","8,45","31,54","25,34","19,03","30,58","17,53","19,92","-6,12","-14,23","2,73","12,15","8,74"
CSMG3,"14,28","11,63","7,95","12,65","11,19","9,29","8,98","7,31","-0,21","5,75","7,87","9,65","10,25"
CSRN3,"38,87","41,35","35,23","25,73","25,96","25,00","22,09","20,26","21,83","25,06","23,32","23,79","30,16"
EALT4,"14,12","17,20","19,34","13,75","10,35","7,92","31,27","-2,39","0,17","9,21","13,35","12,20","15,69"
EKTR3,"30,29","34,42","25,42","19,85","18,56","18,06","18,44","17,60","18,91","19,77","15,77","17,43","35,98"
EKTR4,"30,29","34,42","25,42","19,85","18,56","18,06","18,44","17,60","18,91","19,77","15,77","17,43","35,98"
ENBR3,"8,82","9,52","19,37","14,90","14,50","14,93","7,76","8,86","21,78","15,20","8,22","7,69","10,69"
FRAS3,"15,59","11,61","19,28","19,96","4,83","11,56","8,20","8,33","12,07","11,03","10,13","6,72","12,57"
ITSA3,"17,26","18,78","18,52","12,30","18,67","17,11","15,30","17,20","19,77","20,17","17,20","15,10","16,20"
