TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,61;;-3,52;1,16;0,40;30,29;-1,09;-25,30;-81,64;-154,38;-72,55;1,03;0,89;-3,13;-0,47;0,55;-33,11;-11,37;-1,98;0,34;0,65;0,45;0,13;;5.899.246,44;7,32;-2,42;-0,01;1.010.220.648,64
ABCB4;20,26;7,87;5,73;0,83;0,08;31,62;25,25;19,35;4,39;4,36;;;1,11;3,64;-0,09;1,50;14,50;1,45;;0,10;0,90;0,07;18,70;12,95;15.613.332,31;23,98;3,48;0,39;4.474.323.435,22
ABEV3;13,52;5,61;14,98;2,51;1,61;49,95;21,50;17,26;12,03;11,55;-0,47;-0,10;2,59;1.057,35;-2,16;1,01;16,78;10,71;18,20;0,64;0,35;0,62;10,72;14,46;358.558.109,66;5,40;0,91;2,76;213.779.517.663,88
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,99;;-7,11;0,90;0,24;13,03;9,37;-3,59;2,73;6,08;3,38;1,11;0,26;1,00;-0,62;1,63;-12,65;-3,35;9,83;0,27;0,73;0,93;;;6.646.447,38;1,10;-0,14;0,00;750.889.186,88
AESB3;11,70;;48,21;1,59;0,35;34,55;27,40;4,68;8,24;17,99;9,82;1,89;2,26;4,15;-0,45;1,64;3,29;0,73;4,29;0,22;0,73;0,16;;;22.729.471,63;7,32;0,24;-0,70;6.934.202.622,72
AFLT3;8,60;3,05;13,83;2,00;1,76;59,73;49,97;48,96;13,55;13,08;-0,47;-0,07;6,77;9,32;-2,33;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;13.864,88;4,30;0,62;-0,22;542.528.420,00
AGRO3;28,31;11,53;10,71;1,31;0,82;30,76;21,55;20,98;10,42;12,06;1,67;0,21;2,25;4,01;-1,33;2,14;12,22;7,65;8,56;0,63;0,37;0,36;27,22;16,28;16.062.894,41;21,46;2,62;-0,22;2.867.579.994,08
AGXY3;4,98;0,80;-4,30;0,80;0,10;12,38;3,90;-1,77;1,95;4,10;2,15;0,88;0,08;1,73;-0,47;1,08;-18,62;-2,24;13,29;0,12;0,88;1,27;;;311.976,75;6,18;-1,15;0,00;845.583.695,55
AHEB3;18,95;;2,16;18,88;0,44;35,19;21,45;15,93;1,60;1,28;-0,32;-3,79;0,34;3,30;-0,76;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;2.052,00;1,00;8,77;-0,01;161.585.791,18
AHEB5;16,59;;1,89;16,53;0,39;35,19;21,45;15,93;1,41;1,28;-0,32;-3,79;0,30;2,89;-0,67;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;2.203,00;1,00;8,77;0,00;161.585.791,18
AHEB6;17,01;;1,94;16,94;0,40;35,19;21,45;15,93;1,44;1,28;-0,32;-3,79;0,31;2,96;-0,69;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;1.775,50;1,00;8,77;0,00;161.585.791,18
ALLD3;6,65;5,35;9,83;0,40;0,17;13,77;3,60;1,16;3,18;4,38;1,20;0,15;0,11;0,63;-0,56;1,65;4,10;1,75;7,52;0,43;0,57;1,51;14,71;27,14;213.197,03;16,44;0,67;-0,18;617.120.252,84
ALPA3;8,92;;-26,71;1,15;0,78;42,24;-7,11;-5,67;-21,30;-24,08;-3,27;0,18;1,51;3,47;-1,26;2,50;-4,30;-2,94;-6,09;0,68;0,32;0,52;2,36;;42.327,41;7,77;-0,33;0,19;5.952.058.891,71
ALPA4;8,62;;-25,78;1,11;0,76;42,24;-7,11;-5,67;-20,56;-24,08;-3,27;0,18;1,46;3,35;-1,21;2,50;-4,30;-2,94;-6,09;0,68;0,32;0,52;2,36;;56.381.639,88;7,77;-0,33;0,18;5.952.058.891,71
ALPK3;4,53;;-7,48;2,62;0,36;29,43;9,95;-10,37;7,80;17,61;9,89;3,32;0,78;-3,30;-0,43;0,60;-34,95;-4,79;6,20;0,14;0,86;0,46;3,17;;1.118.870,88;1,71;-0,60;0,26;949.909.496,89
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALSO3;23,97;2,16;4,31;0,94;0,49;101,46;315,02;172,55;2,36;2,04;-0,29;-0,12;7,43;10,43;-0,54;1,87;21,84;11,36;26,95;0,52;0,44;0,07;25,65;87,46;98.157.580,69;25,57;5,58;0,00;13.665.437.803,29
ALUP11;29,61;5,68;11,85;1,21;0,32;76,94;72,93;23,99;3,90;7,83;3,93;1,22;2,84;2,92;-0,39;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;19.860.630,19;24,49;2,50;-0,41;8.999.520.513,04
ALUP3;9,92;5,66;11,89;1,21;0,32;76,94;72,93;23,99;3,91;7,83;3,93;1,22;2,85;2,93;-0,40;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;117.876,63;8,16;0,83;-0,41;8.999.520.513,04
ALUP4;9,81;5,69;11,84;1,21;0,32;76,94;72,93;23,99;3,90;7,83;3,93;1,22;2,84;2,92;-0,39;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;235.119,16;8,16;0,83;-0,41;8.999.520.513,04
AMAR3;0,68;;-0,46;0,76;0,09;37,33;-10,87;-19,59;-0,83;-4,64;-3,80;3,46;0,09;-55,82;-0,16;1,00;-163,84;-18,69;-18,84;0,11;0,89;0,95;-0,89;;3.769.433,13;0,89;-1,45;0,00;233.133.180,16
