,TICKERS,PRECO,MIN_MES,MAX_MES,VAL_MES,MIN_52S,MAX_52S,VAL_12M, VPA,DY, LPA,P/L,P/L_IDEAL,UP/DOWNSIDE,ROE,P/VP,EV/EBIT,LIQ.CORR,MARG.LIQ,DIV.LIQ/PL,SEGMENTO,IBOVESPA,SMALLCAP,DIVIDENDOS
0,AALR3,8.61,7.55,8.61,10.38,7.55,24.3,-57.77,7.32,0.0,-2.42,-3.52,-3.024793388429752,-0.14982578397212531,-33.11,1.16,-154.38,0.55,-25.3,1.03,Serv Mao Hosp Analises e Diagnosticos,,SMLL,
1,ABCB4,20.13,18.35,20.13,7.82,15.27,21.24,7.47,23.98,7.87,3.48,5.73,6.890804597701149,0.1912568306010929,14.5,0.83,4.36,1.5,19.35,0.0,Bancos,,SMLL,IDIV
2,ABEV3,13.53,13.53,14.01,-2.45,12.86,16.03,-7.65,5.4,5.61,0.91,14.98,5.934065934065934,-0.6008869179600886,16.78,2.51,11.55,1.01,17.26,-0.1,Cervejas e Refrigerantes,IBOV,,
3,ADHM3,1.56,1.56,2.1,0.0,0.0,0.0,0.0,-1.21,0.0,-0.38,-4.09,3.1842105263157894,-1.7756410256410255,-31.47,-1.29,-5.69,0.0,-18860.61,0.0,Serv Mao Hosp Analises e Diagnosticos,,,
4,AERI3,1.0,0.94,1.03,3.09,0.88,2.35,-57.26,1.1,0.0,-0.14,-7.11,-7.857142857142857,0.10000000000000009,-12.65,0.9,6.08,1.63,-3.59,1.11,Maq Equip Industriais,,,
5,AESB3,11.71,11.21,11.71,3.72,9.05,12.69,24.18,7.32,0.0,0.24,48.21,30.500000000000004,-0.37489325362937664,3.29,1.59,17.99,1.64,4.68,1.89,Energia Eletrica,,,
6,AFLT3,8.6,8.6,9.01,-3.37,8.07,10.5,-6.01,4.3,3.05,0.62,13.83,6.935483870967742,-0.5,14.46,2.0,13.08,4.34,48.96,-0.07,Energia Eletrica,,,
7,AGRO3,28.02,24.06,29.02,14.65,22.59,31.35,4.79,21.46,11.53,2.62,10.71,8.19083969465649,-0.23411848679514624,12.22,1.31,12.06,2.14,20.98,0.21,Agricultura,,,
8,AGXY3,4.98,4.82,5.0,-0.4,4.7,9.91,-30.64,6.18,0.8,-1.15,-4.3,-5.373913043478261,0.24096385542168663,-18.62,0.8,4.1,1.08,-1.77,0.88,Agricultura,,,
9,AHEB3,18.95,18.95,22.09,-14.21,17.0,22.1,-9.72,1.0,0.0,8.77,2.16,0.11402508551881414,-0.9472295514511874,873.55,18.88,1.28,1.46,15.93,-3.79,Producao de Eventos e Shows,,,
